dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
199,35,-0.07479,0.069166,-1.454527,DSB,2,0,0,DIRECT,1.0,0.0,23,0.004549762858
200,36,0.057065,-0.0362656,4.4638,DSB,2,1,1,DIRECT,1.0,0.0,7,0.845177774982
201,36,0.0589,-0.035894,-3.814436,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.715198494067
202,36,0.058204,-0.03578,-2.361446,DSB,2,1,1,DIRECT,1.0,0.0,18,0.403836466276
203,36,0.058699,-0.036085,-2.253717,DSB,2,0,0,DIRECT,1.0,0.0,18,0.423815389358
204,37,0.023514,-0.021885,0.888742,DSB,2,0,0,DIRECT,1.0,0.0,13,0.917487963828
205,37,0.021155,-0.030173,-3.512995,DSB,2,2,1,DIRECT,1.0,0.0,18,0.699000778353
206,37,0.019549,-0.019402,-2.342084,DSB,2,1,1,DIRECT,1.0,0.0,18,0.403903637617
207,37,0.017427,-0.015366,-2.329399,DSB,2,0,0,DIRECT,1.0,0.0,18,0.403905806684
208,37,0.019136,-0.01942,-3.055643,DSB,2,0,0,DIRECT,1.0,0.0,18,0.621457145926
209,37,0.011819,-0.044834,-4.048882,DSB,2,0,0,DIRECT,1.0,0.0,18,0.782217588834
210,38,0.091732,0.040428,2.516707,DSB,2,0,0,DIRECT,1.0,0.0,13,0.479065591751
211,38,0.093091,0.043827,-0.567909,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.765212298016
212,38,0.092872,0.044479,-0.592457,DSB,2,1,1,DIRECT,1.0,0.0,16,0.76521681186
213,38,0.093443,0.043737,3.689132,DSB+,3,1,1,DIRECT,1.0,0.0,17,0.019932647322
214,38,0.09298,0.04374,-2.910091,DSB,2,1,1,DIRECT,1.0,0.0,18,0.606952606926
215,39,-0.018421,0.057294,-3.035513,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.62296761185
216,39,-0.018945,0.057212,-1.84704,DSB,2,0,0,DIRECT,1.0,0.0,22,0.005605307885
217,40,-0.058071,-0.033788,0.638183,DSB+,3,1,1,DIRECT,1.0,0.0,13,0.994645039103
218,40,-0.059828,-0.033154,0.54011,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.993437587325
219,40,-0.058124,-0.035728,0.55054,DSB,2,0,0,DIRECT,1.0,0.0,13,0.993436393248
220,41,-0.104199,0.028894,1.756045,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.43023317121
221,41,-0.104654,0.028941,1.040264,DSB,2,0,0,DIRECT,1.0,0.0,13,0.905225760547
222,41,-0.104406,0.028839,-0.2884,DSB,2,0,0,DIRECT,1.0,0.0,16,0.711051424339
223,42,0.003906,0.036109,1.176602,DSB,2,0,0,DIRECT,1.0,0.0,13,0.903624491132
224,42,0.002737,0.036086,-2.491997,DSB++,5,1,1,DIRECT,1.0,0.0,18,0.40468835176
225,42,0.003015,0.036767,-4.558626,DSB+,3,4,1,DIRECT,1.0,0.0,18,0.876424421605
226,42,-0.000789,0.034296,-2.493704,DSB,2,1,1,DIRECT,1.0,0.0,18,0.404688477301
227,42,0.002984,0.036328,-3.163478,DSB,2,0,0,DIRECT,1.0,0.0,18,0.623384037897
228,43,-0.126572,0.049082,2.028681,DSB,2,0,0,DIRECT,1.0,0.0,13,0.474525323663
229,43,-0.089868,0.11005,-4.076366,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.88590352463
230,43,-0.095968,0.105159,-2.010681,DSB,2,0,0,DIRECT,1.0,0.0,18,0.42597833304
231,44,0.013721,-0.199693,4.151829,DSB,2,0,0,DIRECT,1.0,0.0,7,0.807018217781
232,44,-0.032356,-0.029606,3.781554,DSB,2,3,1,DIRECT,1.0,0.0,13,0.196033128863
233,44,-0.03215,-0.03251,-2.012758,DSB+,3,1,1,DIRECT,1.0,0.0,18,0.42468360213
234,44,-0.032025,-0.031652,-2.489251,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.405710345126
235,45,-1.002449,-1.17213,0.504287,DSB,2,0,0,DIRECT,1.0,0.0,11,0.362460147714
236,45,0.021993,-0.010005,1.957909,DSB,2,0,0,DIRECT,1.0,0.0,13,0.430559572742
237,45,0.017232,-0.008546,-2.098606,DSB+,3,1,1,DIRECT,1.0,0.0,18,0.42316764728
238,46,-0.083001,-0.06105,0.989761,DSB,2,0,0,DIRECT,1.0,0.0,13,0.903875271899
239,46,-0.083371,-0.061826,-0.116108,DSB+,3,2,1,DIRECT,1.0,0.0,16,0.464868093952
240,46,-0.082842,-0.059208,-3.712967,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.711252193478
241,46,-0.082589,-0.061072,-2.668031,DSB,2,2,1,DIRECT,1.0,0.0,18,0.321293029134
242,46,-0.081675,-0.061822,-2.676033,DSB,2,0,0,DIRECT,1.0,0.0,18,0.321294200849
243,47,0.056472,0.076203,0.506465,DSB,2,3,1,DIRECT,1.0,0.0,13,0.99442779097
244,47,0.050094,0.080762,3.008018,DSB,2,0,0,DIRECT,1.0,0.0,13,0.559524523508
245,47,0.061196,0.077859,-3.284694,DSB,2,1,1,DIRECT,1.0,0.0,18,0.700891221624
246,48,-0.0193915,-0.0349114,4.57198,DSB,2,0,0,DIRECT,1.0,0.0,7,0.845799504183
247,48,-0.201478,-0.28761,1.354871,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.418237604066
248,48,-0.019697,-0.035282,-3.852215,DSB,2,0,0,DIRECT,1.0,0.0,18,0.710389797433
249,49,-0.081266,-0.01778,0.910083,DSB,2,0,0,DIRECT,1.0,0.0,13,0.917910174643
250,49,-0.081759,-0.017055,-1.207764,DSB+,3,1,1,DIRECT,1.0,0.0,16,0.847633305741
251,49,-0.05601,0.011475,-3.842207,DSB+,3,1,1,DIRECT,1.0,0.0,18,0.711129051832
